ALF** fresa con lactobacillus casei Shirota,159,96,6.4,0.3,17.1,ND,ND,223.5,81
ALF** mango con lactobacillus casei Shirota,159,96,6.4,0.3,16.9,ND,ND,223.5,81
ALF** manzana con lactobacillus casei Shirota,159,90,6.4,0.3,15.4,ND,ND,222,82.5
Leche Alpura Ligh Extra,240,103,8,2.4,14,0,144,336,134.4
Leche de soya,240,79,6.6,4.6,4.3,0,7,10,29
Leche descremada,245,86,8.4,0.4,11.9,4,149,302,126
Leche descremada con chocolate,240,77,5.8,1,12.5,0,0,297.6,115.2
Leche descremada en polvo,30,109,10.8,0.2,15.6,6,2,377,161
"Leche descremada en polvo, recucida en Ca",30,107,10.8,0.1,15.8,1.1,1.1,84.6,262.1
Leche en polvo descremada,30,109,10.8,0.2,15.6,6,2,377,161
Leche evaporada descremada,120,94,9,0.4,13.5,3.8,138.8,348.8,138.8
Leche evaporada semidescremada,120,94,7.5,1.9,11.3,18.8,0,300,131.3
Leche Lala Extracalcio Light,240,113,9.1,2.4,13.7,ND,ND,364.8,144
Leche Lala Light,240,96,7.5,2.4,11.1,ND,ND,247.7,120
Leche Lala Siluette Plus,240,83,7.5,0.5,13.6,ND,ND,269.8,149.8
Leche Lala Vive con fibra,240,91,7.5,1.2,15,ND,ND,247.7,120
Leche Lala Vive Deslactosada ligth,240,85,7.5,1.2,11.1,ND,ND,247,120
Leche light Extra,240,103,8,2.4,14,0,144,336,134.4
Natilla Lala Siluette Plus,125,88,6.3,0.5,14.6,0,0,206.3,137.5
PLF* sin azúcar con Lactobacillus casie Chirota,160,60,2,0.1,16.8,ND,ND,74,26
Vitalinez bebible,250,75,6.7,0,11.5,0,0,205.5,0
Vitalinea sólido,150,66,6.3,0,9.9,0,0,165.8,0
Yoghur bajo en grasa,75,83,2.7,0.8,16,5,0,99,36.6
Yoghur Lala Light batido,188,90,7.3,0.4,14.4,ND,ND,240,178.5
Yoghur Lala Light bebible,250,85,7.3,0.5,13,ND,ND,255,100
Yoghur Lala Siluette Plus de fruta,250,85,7.3,0.5,13,0,0,255,100
Yoghur Lala Vive con fribra 0%,250,90,6.5,0.5,16,0,0,200,100
Yoghur light,180,95,6.4,0,15.9,5.3,0,158.8,100.6
Yoghur light de fruta,180,95,5.3,0,16.9,5.3,0,211.8,79.4
Yoghur para beber con fruta BAJA EN CALORIAS,250,80,5.5,0,14,0,0,200,82.5
,,,,,,,,,
* PLF producto Lácteo Fermentado,,,,,,,,,
** ALF Alimento Lácteo Fermentado,,,,,,,,,
