Activia natural,150,135,5.6,5.9,14.9,0,0,186.1,86.8
Activia natural bebible,250,170,6.5,7.6,19.9,0,0,222.6,105.4
Activia natural sólido,150,135,5.6,5.9,14.9,0,0,186.1,86.8
Jocoque,75,126,7,9.6,2.9,0,0,0,248.3
Jcoque ligero,75,126,7,9.6,2.9,0,0,0,248.3
Jocoque seco,75,126,7,9.6,2.9,0,0,0,248.3
Leche,240,148,7.9,8,11.2,32.5,74.8,286.2,118
Leche caliente,240,148,7.9,8,11.2,32.5,74.8,286.2,118
Leche clavel,120,150,7.5,7.5,11.3,37.5,0,300,112.5
Leche cruda ,240,146,7.9,7.9,11.3,33.6,74.4,285.6,117.6
Leche de burra,237,126,4.7,5.7,14.5,0,47.4,194.3,0
Leche de cabra,240,165,8.6,9.9,10.7,27.5,134.8,320.73,120
Leche de vaca,240,148,7.9,8,11.2,32.5,74.8,286.2,118
Leche en polvo,32,159,8.4,8.5,12.3,31,90,292,119
Leche entera,240,148,7.9,8,11.2,32.5,74.8,286.2,118
Leche entera baja en sodio,240,147,7.5,8.3,10.7,32.5,76.7,242,5.9
Leche entera en polvo,32,159,8.4,8.5,12.3,31,90,292,119
Leche entera en polvo adicionada,32,159,8.4,8.5,12.3,31,90,392,119
Leche entera evaporada,120,150,7.5,7.5,11.3,37.5,0,300,112.5
Leche entera ultrapasteurizada,240,134,7,7,11.3,14.4,0,0,168
Lerche evaporada,120,150,7.5,7.5,11.3,37.5,0,300,112.5
Leche fría,240,148,7.9,8,11.2,32.5,74.8,286.2,118
Leche hervida,240,163,8.2,9.1,12.5,33.6,74.4,271.2,117.6
Leche humana,240,170,2.3,10.8,16.3,31,154.8,77.4,38.7
Leche Lala Desarrollo en polvo,33,150,5.9,5.9,18.3,0,0,200.6,96.6
Leche Lala Entera,240,139,7.5,7.2,12,0,0,247.7,120
Leche Liconsa Te Nutre,32,159,8.4,8.5,12.3,31,90,292,119.9
Leche materna,240,170,2.3,10.8,16.3,31,154.8,77.4,38.7
Leche maternizada en polvo,26,132,3.5,7,14.3,0,223.6,87.1,0
Leche omega verde,240,120,7.9,4.6,11.5,19.2,0,292,120
Leche pasteurizada,240,146,7.9,7.9,11.3,33.6,74.4,285.6,117.6
Leche preparada,240,141,6.5,5.9,8.5,32.5,74.8,286.2,118
Yoghur,227,139,7.9,7.4,10.6,29,68,274,105
Yoghur Lala batido,125,121,4.1,2.9,20,0,0,131.3,106.3
Yoghur Lala Vive con fibra,150,140,5.9,4.2,22.1,0,0,169.5,81
Yoghur natural,227,139,7.9,7.4,10.6,29,68,274,105
