Alubia cocida (chica o grande),90,124,8.7,0.3,22.5,5.6,3.3,1.2,5.4,101.1,502.1,0.3
Alubia cruda (chica o grande),35,117,8.1,0.3,21.1,5.3,3.7,4.5,5.6,105.4,628.3,0.7
Alubia enlatada guisada,86,99,6.3,0.3,18.3,4.2,2.6,1.4,299.9,78.7,392.5,0.3
Alubia germinada,190,63,9.1,1.1,8.9,ND,1.7,1.1,13.3,72.2,368.6,ND
Alverjón o chicharo  seco crudo,35,119,8.6,0.4,21.1,ND,1.6,0.6,5.3,128.1,343.4,2.8
Alverjón o chicharo  seco cocido,98,116,8.2,0.4,20.7,ND,1.3,0.6,2,97,354.8,2.8
Chicharo germinado cocido,103,100,7.2,0.5,17.5,ND,1.7,0.6,3.1,24.6,274.7,ND
Frijol germinado cocido,124,97,8.8,1,18.6,10.7,2.6,0.7,17.4,127.7,393.1,ND
Frijol germinado crudo,156,105,9.6,1.1,20.4,ND,3,0.9,20.3,156,478.9,ND
Frijol molido,73,96,6.4,0.4,17.2,6.3,1.5,0.9,0.8,101.6,257.7,0.2
Frijol promedio cocido,86,114,7.6,0.5,20.4,7.5,1.8,1,1,120.4,305.3,0.3
Frijol promedio crudo,35,119,7.6,0.5,21.8,5.3,1.8,1.1,1.8,123.2,519.1,0.7
Frijoles enteros enlatados,128,108,6.7,0.8,18.6,6.8,1.5,1.2,378.9,115.2,303.4,2.4
"Frijoles refritos, caseros o enlatados",75,95,4.1,4.1,11.3,7.1,ND,2.4,237,ND,ND,3
Gandul,40,118,6,0.6,22.7,2.9,1.7,1,5.8,ND,473.3,ND
Garbanzo cocido,82,135,7.3,2.1,22.5,6.3,2.4,3,5.5,138,238.5,4
Garbanzo crudo,35,127,6.8,2.2,21.2,6.1,2.2,2.9,8.4,128.1,306.3,3.7
Garbanzo enlatado,120,143,6,1.4,27.2,5.3,1.6,3.4,359,108,206.5,ND
Haba seca cocida,85,94,6.5,0.3,16.7,4.6,1.3,2.2,4.3,106.3,281.4,1.5
Haba seca cruda,38,128,9.8,0.6,21.9,9.4,2.5,3.1,4.9,157.9,398.3,2.1
Harina de frijol,33,110,7.4,0.7,19.4,1.5,4.4,4.2,2.6,ND,480.4,ND
Harina de garbanzo,33,117,6.6,2.2,18.7,1.5,2.3,3.9,8.5,ND,287.1,ND
Harina de haba,33,114,9.1,0.6,19.1,0.6,6,3.9,4.3,ND,ND,ND
Harina de lenteja,33,108,8.1,0.5,18.5,1.3,6.6,3.9,0,80.4,ND,ND
Harina de soya,25,108,9.3,5.1,7.8,2.4,1.6,1.8,2.9,116.6,500,ND
Harina de soya baja en grasa,25,91,12.2,2.2,7.5,2.4,1.5,2.3,4.4,145.3,629.7,2.5
Harina de soya sin grasa,22,81,11.2,1.5,7.9,2.1,1.3,13,2,148.5,459.8,4.4
Hummus,75,125,5.9,7.2,10.7,4.5,1.8,ND,284.3,132,171,ND
Ibes o haba de lima cocida,85,105,5.8,0.3,20.1,4.5,2.1,1.7,14.5,110.5,484.5,1.4
Ibes o haba de lima cruda,90,102,6.2,0.8,18.2,4.4,2.8,1.6,7.2,122.4,420.3,1.3
Lenteja cocida,99,115,9,0.4,20,7.8,3.3,2.8,2,178,365.5,1.8
Lenteja cruda,35,124,9,0.4,21,10.7,2.6,2.9,2.1,157.9,334.3,0.7
Miso (soybean paste),60,120,7.1,3.6,15.9,3.2,1.5,0,2237.1,0,0,3.6
Soya cocida,57,98,9.4,5.1,5.6,3.4,2.9,4.1,0.6,139.1,292.3,1.7
Soya texturizada,30,95,11.6,0.9,11.7,5.4,3.6,0.2,3.2,193.9,577.5,ND
